file_id,project_id,project_name,source_file,file_type,relative_path,absolute_path,file_size_bytes,modified_time,status,error_message
636ee6f15b02,a_comprehensive_learning_management__system_(lms)_for_mental_health_&_addictions__program_at_the_izaak_walton_killam_health__centre,A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE,2025-0388 Addendum 1-0373981.pdf,pdf,Tenders - Raw and Annotated/A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE/A Comprehensive Learning Management System (LMS) for Mental Health and Addictions Program at IWK/2025-0388 Addendum 1-0373981.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE\A Comprehensive Learning Management System (LMS) for Mental Health and Addictions Program at IWK\2025-0388 Addendum 1-0373981.pdf,248575,2026-06-10T03:00:56,pending,
418ad085f181,a_comprehensive_learning_management__system_(lms)_for_mental_health_&_addictions__program_at_the_izaak_walton_killam_health__centre,A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE,2025-0388 IWK RFP - MHA Learning Platform-0407688.pdf,pdf,Tenders - Raw and Annotated/A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE/A Comprehensive Learning Management System (LMS) for Mental Health and Addictions Program at IWK/2025-0388 IWK RFP - MHA Learning Platform-0407688.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE\A Comprehensive Learning Management System (LMS) for Mental Health and Addictions Program at IWK\2025-0388 IWK RFP - MHA Learning Platform-0407688.pdf,383048,2026-06-10T03:00:54,pending,
9fede60dc116,a_comprehensive_learning_management__system_(lms)_for_mental_health_&_addictions__program_at_the_izaak_walton_killam_health__centre,A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE,Appendix A - IWK Standard Form of Agreement-1252946.pdf,pdf,Tenders - Raw and Annotated/A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE/A Comprehensive Learning Management System (LMS) for Mental Health and Addictions Program at IWK/Appendix A - IWK Standard Form of Agreement-1252946.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\A Comprehensive Learning Management  System (LMS) for Mental Health & Addictions  Program at the Izaak Walton Killam HEALTH  CENTRE\A Comprehensive Learning Management System (LMS) for Mental Health and Addictions Program at IWK\Appendix A - IWK Standard Form of Agreement-1252946.pdf,350744,2026-06-10T03:00:54,pending,
3488c9b5643f,ab_2025_03859___ai_resume_tool_(career_bridge_centre),AB-2025-03859 - AI Resume Tool (Career Bridge Centre),EOI 2025- AI Resume Tool (CB) - May 2025 (2).pdf,pdf,Tenders - Raw and Annotated/AB-2025-03859 - AI Resume Tool (Career Bridge Centre)/AB-2025-03859 - AI Resume Tool (Career Bridge Centre) Raw/EOI 2025- AI Resume Tool (CB) - May 2025 (2).pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\AB-2025-03859 - AI Resume Tool (Career Bridge Centre)\AB-2025-03859 - AI Resume Tool (Career Bridge Centre) Raw\EOI 2025- AI Resume Tool (CB) - May 2025 (2).pdf,451813,2026-06-10T03:01:02,pending,
4904f17acee3,advancing_data_governance,Advancing Data Governance,Attachment 1_AcceptanceForm_CFP2025-02.pdf,pdf,Tenders - Raw and Annotated/Advancing Data Governance/Advancing Data Governance - Raw/Attachment 1_AcceptanceForm_CFP2025-02.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\Advancing Data Governance\Advancing Data Governance - Raw\Attachment 1_AcceptanceForm_CFP2025-02.pdf,78613,2026-06-10T03:00:56,pending,
1e700d923fb2,advancing_data_governance,Advancing Data Governance,Attachment_2_Financial_Template_2025-02_EN.pdf,pdf,Tenders - Raw and Annotated/Advancing Data Governance/Advancing Data Governance - Raw/Attachment_2_Financial_Template_2025-02_EN.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\Advancing Data Governance\Advancing Data Governance - Raw\Attachment_2_Financial_Template_2025-02_EN.pdf,185113,2026-06-10T03:00:58,pending,
8a7ca5ae6d13,advancing_data_governance,Advancing Data Governance,SCC_CFP_2025-02-Questions-Answers_v.1_2025-08-29_EN-FR.pdf,pdf,Tenders - Raw and Annotated/Advancing Data Governance/Advancing Data Governance - Raw/SCC_CFP_2025-02-Questions-Answers_v.1_2025-08-29_EN-FR.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\Advancing Data Governance\Advancing Data Governance - Raw\SCC_CFP_2025-02-Questions-Answers_v.1_2025-08-29_EN-FR.pdf,145834,2026-06-10T03:00:56,pending,
b46e8988c037,advancing_data_governance,Advancing Data Governance,SCC_REQ_CFP-2025-02-Advancing Data Governance_Amendment 1_EN.pdf,pdf,Tenders - Raw and Annotated/Advancing Data Governance/Advancing Data Governance - Raw/SCC_REQ_CFP-2025-02-Advancing Data Governance_Amendment 1_EN.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\Advancing Data Governance\Advancing Data Governance - Raw\SCC_REQ_CFP-2025-02-Advancing Data Governance_Amendment 1_EN.pdf,1123794,2026-06-10T03:00:58,pending,
a66c10fabf41,advancing_data_governance,Advancing Data Governance,SCC_REQ_CFP-2025-02-Advancing Data Governance_EN.pdf,pdf,Tenders - Raw and Annotated/Advancing Data Governance/Advancing Data Governance - Raw/SCC_REQ_CFP-2025-02-Advancing Data Governance_EN.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\Advancing Data Governance\Advancing Data Governance - Raw\SCC_REQ_CFP-2025-02-Advancing Data Governance_EN.pdf,804057,2026-06-10T03:00:58,pending,
e4101e311ff3,aglc___automation_agency_of_record,AGLC - Automation Agency of Record,1-Corporate Policy 17. 8 Artificial Intelligence.pdf,pdf,Tenders - Raw and Annotated/AGLC - Automation Agency of Record/AGLC - Automation Agency of Record - Raw/1-Corporate Policy 17. 8 Artificial Intelligence.pdf,D:\Artificial intelligence\SDA\rfp_project_final\RFP_Project\data\raw\Tenders - Raw and Annotated\AGLC - Automation Agency of Record\AGLC - Automation Agency of Record - Raw\1-Corporate Policy 17. 8 Artificial Intelligence.pdf,175656,2026-06-10T03:01:04,pending,
